x,y
-0.59978,0.0320782878191055
-0.59347,0.0291981797351761
-0.58715,0.0263135072961217
-0.58084,0.0234333992121923
-0.57453,0.0205532911282629
-0.56821,0.0176686186892085
-0.5619,0.0147885106052791
-0.55559,0.0119084025213498
-0.54927,0.0691591088553054
-0.54296,0.066279000771376
-0.53665,0.0633988926874467
-0.53033,0.0605142202483922
-0.52402,0.0576341121644628
-0.51771,0.0547540040805335
-0.51139,0.051869331641479
-0.50508,0.0489892235575497
-0.49877,0.0461091154736203
-0.49245,0.0432244430345659
-0.48614,0.0403443349506365
-0.47983,0.0374642268667071
-0.47351,0.0345795544276527
-0.4672,0.0316994463437233
-0.46088,0.0288147739046689
-0.45457,0.0259346658207395
-0.44826,0.0230545577368102
-0.44194,0.0201698852977557
-0.43563,0.0774251559868364
-0.42932,0.074545047902907
-0.423,0.0716603754638526
-0.41669,0.0687802673799232
-0.41038,0.0659001592959939
-0.40406,0.0630154868569394
-0.39775,0.0601353787730101
-0.39775,0
-0.39144,0.0572552706890807
-0.38512,0.0543705982500263
-0.37881,0.0514904901660969
-0.3725,0.0486103820821675
-0.36618,0.0457257096431131
-0.35987,0.0428456015591837
-0.35356,0.0399654934752544
-0.34724,0.0370808210361999
-0.34093,0.0342007129522705
-0.33462,0.0313206048683412
-0.3283,0.0284359324292867
-0.32199,0.0255558243453574
-0.31567,0.082806530679313
-0.30936,0.0799264225953836
-0.30305,0.0770463145114543
-0.29673,0.0741616420723998
-0.29042,0.0712815339884705
-0.28411,0.0684014259045411
-0.27779,0.0655167534654866
-0.27148,0.0626366453815573
-0.26517,0.0597565372976279
-0.25885,0.0568718648585735
-0.25254,0.0539917567746441
-0.24623,0.0511116486907147
-0.23991,0.0482269762516603
-0.2336,0.0453468681677309
-0.22729,0.0424667600838016
-0.22097,0.0395820876447471
-0.21466,0.0367019795608178
-0.20835,0.0338218714768884
-0.20203,0.0309371990378339
-0.19572,0.0881354152878511
-0.1894,0.0852507428487966
-0.18309,0.0823706347648673
-0.17678,0.0794905266809379
-0.17046,0.0766058542418834
-0.16415,0.0737257461579541
-0.15784,0.0708456380740247
-0.15152,0.0679609656349703
-0.14521,0.0650808575510409
-0.1389,0.0622007494671115
-0.13258,0.0593160770280571
-0.12627,0.0564359689441277
-0.11996,0.0535558608601984
-0.11364,0.0506711884211439
-0.10733,0.0477910803372146
-0.10102,0.0449109722532852
-0.0947000000000001,0.102161678587241
-0.08839,0.0992815705033114
-0.08208,0.0964014624193821
-0.07576,0.0935167899803276
-0.0694500000000001,0.0906366818963983
-0.0631300000000001,0.0877520094573438
-0.05682,0.145007280146425
-0.0505100000000001,0.142127172062495
-0.0441900000000001,0.139242499623441
-0.03788,0.136362391539511
-0.03157,0.133482283455582
-0.0252500000000001,0.190732989789538
-0.0189400000000001,0.187852881705608
-0.01263,0.184972773621679
-0.00631000000000004,0.182088101182624
-5.55111512312578e-17,0.600098590070702
0.00630999999999993,0.657353860759783
0.01263,0.774682891427685
0.01894,0.831938162116765
0.0252499999999999,0.829058054032836
0.0315699999999999,0.826173381593782
0.03788,0.823293273509852
0.04419,0.820413165425923
0.0505099999999999,0.877663871759878
0.0568199999999999,0.874783763675949
0.06314,0.871899091236895
0.06945,0.869018983152965
0.0757599999999999,0.866138875069036
0.0820799999999999,0.923389581402991
0.08839,0.920509473319062
0.0947,0.917629365235133
0.10102,0.914744692796078
0.10733,0.911864584712149
0.11364,0.90898447662822
0.11996,0.906099804189165
0.12627,0.963355074878246
0.13258,0.960474966794317
0.1389,0.957590294355262
0.14521,0.954710186271333
0.15152,0.951830078187403
0.15784,0.948945405748349
0.16415,0.94606529766442
0.17046,0.94318518958049
0.17678,0.940300517141436
0.18309,0.937420409057507
0.18941,0.934535736618452
0.19572,0.931655628534523
0.20203,0.928775520450593
0.20835,0.925890848011539
0.21466,0.983089064261556
0.22097,0.980208956177626
0.22729,0.977324283738572
0.2336,0.974444175654643
0.23991,0.971564067570713
0.24623,0.968679395131659
0.25254,0.96579928704773
0.25885,0.9629191789638
0.26517,0.960034506524746
0.27148,0.957154398440816
0.27779,0.954274290356887
0.28411,0.951389617917832
0.29042,0.948509509833903
0.29673,0.945629401749974
0.30305,0.942744729310919
0.30936,1
0.31568,0.997115327560946
0.32199,0.994235219477016
0.3283,0.931219732620077
0.33462,0.988470438954032
0.34093,0.985590330870103
0.34724,0.982710222786174
0.35356,0.979825550347119
0.35987,0.97694544226319
0.36618,0.97406533417926
0.3725,0.971180661740206
0.37881,0.968300553656277
0.38512,0.965420445572347
0.39144,0.962535773133293
0.39775,0.959655665049364
0.40406,0.956775556965434
0.41038,0.95389088452638
0.41669,0.95101077644245
0.423,0.948130668358521
0.42932,0.945245995919467
0.43563,0.942365887835537
0.44195,0.939481215396483
0.44826,0.936601107312553
0.45457,0.933720999228624
0.46089,0.99097170556258
0.4672,0.98809159747865
0.47351,0.985211489394721
0.47983,0.982326816955667
0.48614,0.979446708871737
0.49245,0.976566600787808
0.49877,0.973681928348753
0.50508,0.970801820264824
0.51139,0.967921712180895
0.51771,0.96503703974184
0.52402,0.962156931657911
0.53033,0.959276823573981
0.53665,0.956392151134927
0.54296,0.953512043050998
0.54927,0.950631934967068
0.55559,0.947747262528014
0.5619,0.944867154444084
0.56822,0.94198248200503
0.57453,0.939102373921101
0.58084,0.936222265837171
0.58716,0.933337593398117
0.59347,0.990592864087197
0.59978,0.987712756003268
